scaffold_2_1 200 1624

scaffold_2_2 200 2492
scaffold_2_2 2538 2701

scaffold_1_1 200 1171

scaffold_1_2 200 356
scaffold_1_2 408 3247

scaffold_1_3 200 745

scaffold_1_4 200 823

scaffold_1_5 200 246
scaffold_1_5 371 385
scaffold_1_5 1244 1269
scaffold_1_5 2089 2960

scaffold_1_6 200 772

scaffold_2_3 200 856

scaffold_2_4 200 2503

scaffold_2_5 200 3493

scaffold_2_6 200 1027

scaffold_2_7 200 2875

scaffold_2_8 200 1978

scaffold_2_9 200 1894

scaffold_2_10 200 220
scaffold_2_10 289 948

scaffold_4_1 200 2123
scaffold_4_1 2238 2426
scaffold_4_1 2602 2633

scaffold_7_1 200 2306
scaffold_7_1 2631 3263
scaffold_7_1 3348 4478
scaffold_7_1 4722 8821

scaffold_4_2 200 1246

scaffold_1_7 200 958

scaffold_4_3 200 216
scaffold_4_3 271 811

scaffold_4_4 200 1201

scaffold_4_5 200 1499
scaffold_4_5 2477 2488
scaffold_4_5 2549 2559
scaffold_4_5 2810 2838

scaffold_1_8 200 1048

scaffold_1_9 200 1312

scaffold_4_6 200 1618

scaffold_4_7 200 6256

scaffold_1_10 200 252
scaffold_1_10 355 1987

scaffold_3_1 200 1324

scaffold_3_2 200 1567

scaffold_6_1 200 2473

scaffold_6_2 200 2203

scaffold_6_3 200 1192

scaffold_6_4 200 2612
scaffold_6_4 2715 5200
scaffold_6_4 5676 5702

scaffold_6_5 200 2548

scaffold_6_6 200 2083

scaffold_3_3 200 2302

scaffold_3_4 200 366
scaffold_3_4 443 728

scaffold_3_5 200 3304

scaffold_3_6 200 1336

scaffold_3_7 200 2386

scaffold_3_8 200 2290

scaffold_3_9 200 3199

scaffold_3_10 200 240
scaffold_3_10 304 997

scaffold_1_11 200 1954

scaffold_1_12 200 1039

scaffold_2_11 200 1162

scaffold_7_2 200 3962
scaffold_7_2 4132 4196

scaffold_7_3 200 814

scaffold_8_1 200 1622
scaffold_8_1 2875 2886
scaffold_8_1 3457 3488

scaffold_8_2 200 1858

