!! Predictions spanning range 55748 - 95690 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 55748-56341 orient(-) score(1188.00) noncoding_equivalent(0.12) raw_noncoding(0.00) offset(0.00) 
56341	55748	single-	4	6	{Augustus_gene756.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 63981-68279 orient(+) score(8598.00) noncoding_equivalent(0.86) raw_noncoding(0.00) offset(0.00) 
63981	68112	initial+	1	1	{Augustus_gene612.t1;Augustus}
68113	68265	INTRON			{Augustus_gene612.t1;Augustus}
68266	68279	terminal+	2	3	{Augustus_gene612.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 69147-70163 orient(+) score(2034.00) noncoding_equivalent(0.20) raw_noncoding(0.00) offset(0.00) 
69147	70163	single+	1	3	{Augustus_gene805.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 87003-89932 orient(+) score(5860.00) noncoding_equivalent(0.59) raw_noncoding(0.00) offset(0.00) 
87003	87045	initial+	1	1	{Augustus_gene347.t1;Augustus}
87046	87128	INTRON			{Augustus_gene347.t1;Augustus}
87129	87542	internal+	2	1	{Augustus_gene347.t1;Augustus}
87543	88844	INTRON			{Augustus_gene347.t1;Augustus}
88845	88857	internal+	2	2	{Augustus_gene347.t1;Augustus}
88858	89378	INTRON			{Augustus_gene347.t1;Augustus}
89379	89389	internal+	3	1	{Augustus_gene347.t1;Augustus}
89390	89441	INTRON			{Augustus_gene347.t1;Augustus}
89442	89456	internal+	2	1	{Augustus_gene347.t1;Augustus}
89457	89891	INTRON			{Augustus_gene347.t1;Augustus}
89892	89932	terminal+	2	3	{Augustus_gene347.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 94224-95690 orient(+) score(2934.00) noncoding_equivalent(0.29) raw_noncoding(0.00) offset(0.00) 
94224	95690	single+	1	3	{Augustus_gene48.t1;Augustus}

