!! Predictions spanning range 6872 - 92237 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 6872-8296 orient(-) score(2850.00) noncoding_equivalent(0.29) raw_noncoding(0.00) offset(0.00) 
8296	6872	single-	4	6	{Augustus_gene552.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 85428-92237 orient(-) score(13620.00) noncoding_equivalent(1.36) raw_noncoding(0.00) offset(0.00) 
85524	85428	terminal-	6	6	{Augustus_gene96.t1;Augustus}
85585	85525	INTRON			{Augustus_gene96.t1;Augustus}
85622	85586	internal-	5	5	{Augustus_gene96.t1;Augustus}
86241	85623	INTRON			{Augustus_gene96.t1;Augustus}
86262	86242	internal-	5	4	{Augustus_gene96.t1;Augustus}
87188	86263	INTRON			{Augustus_gene96.t1;Augustus}
87201	87189	internal-	4	4	{Augustus_gene96.t1;Augustus}
87395	87202	INTRON			{Augustus_gene96.t1;Augustus}
87408	87396	internal-	6	6	{Augustus_gene96.t1;Augustus}
87523	87409	INTRON			{Augustus_gene96.t1;Augustus}
87584	87524	internal-	5	5	{Augustus_gene96.t1;Augustus}
87648	87585	INTRON			{Augustus_gene96.t1;Augustus}
87686	87649	internal-	6	4	{Augustus_gene96.t1;Augustus}
88573	87687	INTRON			{Augustus_gene96.t1;Augustus}
88622	88574	internal-	5	5	{Augustus_gene96.t1;Augustus}
88751	88623	INTRON			{Augustus_gene96.t1;Augustus}
88788	88752	internal-	4	4	{Augustus_gene96.t1;Augustus}
88843	88789	INTRON			{Augustus_gene96.t1;Augustus}
88874	88844	internal-	6	6	{Augustus_gene96.t1;Augustus}
90045	88875	INTRON			{Augustus_gene96.t1;Augustus}
92237	90046	initial-	4	5	{Augustus_gene96.t1;Augustus}

