# TBLASTN 2.2.31+
# Query: EOG0926004Z
# Database: ./tmp/s.eubayanus_fm1318_xxx_200919163
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 23 hits found
EOG0926004Z	scaffold_3	62.69	1300	302	17	397	1515	363777	359884	0.0	1437
EOG0926004Z	scaffold_3	68.18	242	66	5	2503	2733	352365	351640	3e-86	316
EOG0926004Z	scaffold_3	45.39	434	118	9	30	344	365325	364024	1e-66	251
EOG0926004Z	scaffold_3	82.61	92	12	1	1513	1600	359628	359353	6e-41	166
EOG0926004Z	scaffold_3	42.62	244	101	6	1858	2062	356262	355531	4e-26	117
EOG0926004Z	scaffold_3	42.47	146	74	5	1459	1599	362967	362545	1e-21	102
EOG0926004Z	scaffold_3	38.10	126	74	2	1460	1585	360972	360607	6e-16	83.6
EOG0926004Z	scaffold_3	26.44	416	206	16	905	1239	365295	364105	7e-16	83.6
EOG0926004Z	scaffold_3	45.19	104	39	2	2094	2179	355275	354964	2e-14	79.0
EOG0926004Z	scaffold_3	28.64	206	88	5	1454	1600	362127	361510	3e-14	78.2
EOG0926004Z	scaffold_3	27.40	219	138	6	641	843	365268	364627	8e-12	70.1
EOG0926004Z	scaffold_3	33.77	151	84	5	1210	1345	363903	363454	5e-11	67.4
EOG0926004Z	scaffold_3	39.60	101	55	2	32	126	361023	360721	6e-11	67.4
EOG0926004Z	scaffold_3	46.25	80	43	0	887	966	364335	364096	7e-11	67.0
EOG0926004Z	scaffold_3	38.64	88	51	2	41	126	362976	362716	1e-10	66.2
EOG0926004Z	scaffold_3	32.39	142	89	5	1171	1308	365331	364915	1e-10	65.9
EOG0926004Z	scaffold_3	40.40	99	50	3	977	1070	359622	359338	2e-10	65.9
EOG0926004Z	scaffold_3	38.04	92	51	3	1515	1600	363771	363496	2e-10	65.5
EOG0926004Z	scaffold_3	31.20	125	66	4	1220	1338	359670	359338	2e-09	62.4
EOG0926004Z	scaffold_3	37.50	96	50	3	399	488	359622	359347	2e-09	62.4
EOG0926004Z	scaffold_3	34.11	129	78	4	1455	1581	365283	364912	3e-09	61.6
EOG0926004Z	scaffold_3	30.32	188	100	8	623	785	359886	359341	1e-08	59.7
EOG0926004Z	scaffold_3	40.00	55	33	0	1454	1508	364272	364108	5e-06	50.8
# TBLASTN 2.2.31+
# Query: EOG09260075
# Database: ./tmp/s.eubayanus_fm1318_xxx_200919163
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
EOG09260075	scaffold_3	43.66	1395	536	35	1178	2324	61451	57273	0.0	923
EOG09260075	scaffold_3	40.75	795	295	19	4	622	66530	64146	3e-122	433
EOG09260075	scaffold_3	38.83	358	136	10	662	936	63857	62784	4e-42	170
