# TBLASTN 2.2.31+
# Query: EOG0926004Z
# Database: ./tmp/s.cerevisiae_m3707_xxx_2158574492
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 23 hits found
EOG0926004Z	scaffold_13	62.54	1300	304	17	397	1515	342829	338936	0.0	1435
EOG0926004Z	scaffold_13	68.75	240	64	5	2505	2733	331426	330707	2e-86	317
EOG0926004Z	scaffold_13	45.39	434	118	9	30	344	344377	343076	4e-67	253
EOG0926004Z	scaffold_13	62.02	129	39	3	1476	1600	338773	338405	5e-40	163
EOG0926004Z	scaffold_13	44.26	244	97	6	1858	2062	335314	334583	3e-26	117
EOG0926004Z	scaffold_13	42.47	146	74	5	1459	1599	342019	341597	1e-21	102
EOG0926004Z	scaffold_13	31.07	206	83	5	1454	1600	341179	340562	5e-17	87.4
EOG0926004Z	scaffold_13	38.10	126	74	2	1460	1585	340024	339659	6e-16	83.6
EOG0926004Z	scaffold_13	46.15	104	38	2	2094	2179	334327	334016	2e-15	82.0
EOG0926004Z	scaffold_13	26.48	219	140	6	641	843	344320	343679	3e-11	68.6
EOG0926004Z	scaffold_13	33.33	150	91	6	1171	1314	344383	343943	4e-11	67.8
EOG0926004Z	scaffold_13	43.01	93	52	1	887	978	343387	343109	7e-11	67.0
EOG0926004Z	scaffold_13	38.61	101	56	2	32	126	340075	339773	1e-10	66.6
EOG0926004Z	scaffold_13	38.64	88	51	2	41	126	342028	341768	1e-10	66.2
EOG0926004Z	scaffold_13	40.82	98	49	3	977	1069	338674	338393	2e-10	65.9
EOG0926004Z	scaffold_13	34.00	100	55	2	1244	1337	338677	338393	4e-10	64.7
EOG0926004Z	scaffold_13	35.87	92	53	2	1515	1600	342823	342548	6e-10	63.9
EOG0926004Z	scaffold_13	40.00	110	53	4	684	785	338707	338393	1e-09	62.8
EOG0926004Z	scaffold_13	33.33	129	79	4	1455	1581	344335	343964	3e-09	61.6
EOG0926004Z	scaffold_13	36.46	96	51	3	399	488	338674	338399	3e-09	61.6
EOG0926004Z	scaffold_13	29.73	148	82	4	909	1050	344335	343940	3e-08	58.5
