!! Predictions spanning range 54691 - 91802 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 54691-55818 orient(-) score(2256.00) noncoding_equivalent(0.23) raw_noncoding(0.00) offset(0.00) 
55818	54691	single-	4	6	{Augustus_gene1098.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 85803-90201 orient(+) score(8798.00) noncoding_equivalent(0.88) raw_noncoding(0.00) offset(0.00) 
85803	87056	initial+	1	3	{Augustus_gene770.t1;Augustus}
87057	87536	INTRON			{Augustus_gene770.t1;Augustus}
87537	87591	internal+	1	1	{Augustus_gene770.t1;Augustus}
87592	87706	INTRON			{Augustus_gene770.t1;Augustus}
87707	87733	internal+	2	1	{Augustus_gene770.t1;Augustus}
87734	87786	INTRON			{Augustus_gene770.t1;Augustus}
87787	87830	internal+	2	3	{Augustus_gene770.t1;Augustus}
87831	88002	INTRON			{Augustus_gene770.t1;Augustus}
88003	88011	internal+	1	3	{Augustus_gene770.t1;Augustus}
88012	88261	INTRON			{Augustus_gene770.t1;Augustus}
88262	88310	internal+	1	1	{Augustus_gene770.t1;Augustus}
88311	88675	INTRON			{Augustus_gene770.t1;Augustus}
88676	88867	internal+	2	1	{Augustus_gene770.t1;Augustus}
88868	88918	INTRON			{Augustus_gene770.t1;Augustus}
88919	88956	internal+	2	3	{Augustus_gene770.t1;Augustus}
88957	89385	INTRON			{Augustus_gene770.t1;Augustus}
89386	89401	internal+	1	1	{Augustus_gene770.t1;Augustus}
89402	89977	INTRON			{Augustus_gene770.t1;Augustus}
89978	90201	terminal+	2	3	{Augustus_gene770.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 90453-91802 orient(+) score(2700.00) noncoding_equivalent(0.27) raw_noncoding(0.00) offset(0.00) 
90453	91802	single+	1	3	{Augustus_gene1046.t1;Augustus}

